PPP,Omniscient A* Bot,Random Bot,WallFollower [l],WallFollower [r],Explorer,Explorer [Limited Memory: 5x5],Explorer [Noise: 0.10],Long Term Explorer,Bumper,Decision Bumper
PPP0.ppp,100,0.6,100,100,39.4,15.5,38.4,78.4,0,0
PPP1.ppp,100,2.9,100,100,95.2,31.7,78.4,97.2,99,99.6
PPP2.ppp,100,3.7,100,100,91.2,22.4,79.1,99.6,97.7,99.4
PPP3.ppp,100,3.4,100,100,90.4,11.8,82.1,99.2,84,92
PPP4.ppp,100,3.2,0,100,73.7,8.4,68.9,100,94.1,94.9
PPP5.ppp,100,3.2,100,100,62.6,15.6,66,96.9,0,0
PPP6.ppp,100,3.4,100,100,66,7.2,62.8,98.8,86.7,93.5
PPP7.ppp,100,3.8,100,100,86.9,12.1,76.8,100,75.5,93.3
PPP8.ppp,100,4,100,100,75,3.5,71,98.8,88.4,95.9
PPP9.ppp,100,1.7,100,100,82.6,10.8,69.6,99.9,0,0
PPP10.ppp,100,1,0,100,97.6,24,73.3,100,98.2,99.8
PPP11.ppp,100,1.4,100,100,70.8,13.5,69.5,99.8,0,0
PPP12.ppp,100,2.2,100,100,87.4,50.1,62,79,99.2,100
PPP13.ppp,100,3.2,100,100,73,17.9,74.7,100,38.1,31.3
PPP14.ppp,100,3.2,100,100,99.8,15.2,83,100,97.1,100
PPP15.ppp,100,3.8,100,100,84.4,15.3,76.6,97.6,97.2,99
PPP16.ppp,100,1.7,100,100,94.3,46.7,59.2,71.7,75.9,86
PPP17.ppp,100,2.2,100,100,74.2,28.6,70.1,99.8,81,86.4
PPP18.ppp,100,2.8,100,100,81.2,16.5,74.7,99.8,38.8,34.8
PPP19.ppp,100,0,76.3,100,44.7,10.2,24.6,89.5,64.3,62.4
PPP20.ppp,100,2.1,100,99.9,67.2,11.1,60.6,99.1,55.3,45.7
PPP21.ppp,100,0,43.4,100,83.4,3.1,20.3,95.2,99.7,100
PPP22.ppp,100,2.8,99.3,100,83.4,32.8,69.9,98.4,71.6,70
PPP23.ppp,100,0,78.5,100,89.3,20.4,66.4,99.9,50.1,44.1
PPP24.ppp,100,0,81.4,100,87.1,14,75.1,99.8,93.6,99.8
PPP25.ppp,100,1.6,0,100,94.5,29,79.8,99.9,99.4,100
PPP26.ppp,100,1,100,100,55.7,16.2,64.8,97.6,0,0
PPP27.ppp,100,0,49.7,100,70.5,14.9,27.4,23.1,73.4,74.3
PPP28.ppp,100,1.8,100,100,92.7,10.5,70.9,96.4,0,0
PPP29.ppp,100,0.8,0,100,57.7,15,33.1,99.7,62.8,65.2
PPP30.ppp,100,3.1,100,100,84.6,17.8,74,99.9,96.8,100
PPP31.ppp,100,4.2,100,100,95.5,26.6,83.5,100,94.3,98
PPP32.ppp,100,2.4,100,100,92.8,18.4,78,99.6,97.2,100
PPP33.ppp,100,3.1,100,100,92.4,34.9,81.9,100,97.4,99.6
PPP34.ppp,100,2.8,100,100,96.3,18,90.6,100,80.5,78.2
PPP35.ppp,100,4.1,0,100,95,30.1,78,100,96.3,98.8
PPP36.ppp,100,4.2,100,100,92.4,30.1,79.7,100,87.4,96.6
PPP37.ppp,100,2.1,100,100,86.8,37.4,75.5,100,98.7,100
PPP38.ppp,100,3.4,100,100,96.7,14.4,83.5,100,96.5,100
PPP39.ppp,100,0,88.6,100,83.9,17.8,64.1,98.7,80.9,90.9
PPP40.ppp,100,0.2,100,0,51.2,12.9,37.6,96.6,0,0
PPP41.ppp,100,0.5,100,99.6,56.3,7.2,52.7,83.4,93,96.4
PPP42.ppp,100,3.2,100,0,78.7,11.9,75.5,93.1,45.5,40.4
PPP43.ppp,100,3.1,0,100,93.4,23.5,84.2,100,62.9,62.1
PPP44.ppp,100,4.4,100,100,89.9,17.5,80.5,100,94.4,100
PPP45.ppp,100,3.3,100,100,72.7,12.8,71.9,99.7,89.8,95.6
PPP46.ppp,100,0,48.4,0,28.6,14.4,19.6,41.1,51.6,66.3
PPP47.ppp,100,2.2,0,100,93.1,29.7,79.1,99.9,100,100
PPP48.ppp,100,4.1,100,100,78.9,4.7,72.8,100,94.1,99.8
PPP49.ppp,100,1.6,100,100,69,2.6,45.9,80.2,0,0
PPP50.ppp,100,2.2,0,100,77.4,24,73.3,95.6,97.1,99.3
PPP51.ppp,100,0,74,100,78.6,28.6,70.5,99.5,78.8,84.5
PPP52.ppp,100,2.2,100,100,99.8,21.3,78.9,100,24.5,19.9
PPP53.ppp,100,2.5,100,100,91.7,17.2,75.4,95.1,91.9,95.9
PPP54.ppp,100,2.8,100,100,97.1,16,77.2,100,79.2,92.1
PPP55.ppp,100,1.6,99.5,100,92.9,20.3,83.8,100,97.8,100
PPP56.ppp,100,3.4,100,100,86.1,18.2,80.1,99.7,89.7,84.7
PPP57.ppp,100,0,48.8,0,72.7,9.4,63.1,93,47.9,46.6
PPP58.ppp,100,0,86.7,100,82.1,27.7,69.1,98.9,83,94
PPP59.ppp,100,2.5,100,100,95.7,21,80,100,98.8,100
